Type,SKU,Name,Published,Visibility in catalogue,Short description,Description,In stock?,Regular price,Categories,Images
simple,190-gal-60x24x30-reef-pro-starphire-glass-tank-white-wood-stand-aluminum-frame,"190 GAL 60X24X30 REEF PRO STARPHIRE GLASS TANK- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 190 System Comes With:</li>
<li>60″ x 24″ x 30″ (approx)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Tank Size</li>
<li>60x24x30 inch</li>
<li>1524x610x762 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>180 Gallon</li>
<li>Overflow Box</li>
<li>2×3/4″ Return, 2×1.5″ Drain</li>
<li>Sump Size</li>
</ul>",1,3499.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,225-gal-72x24x30t-reef-pro-starphire-glass-tank-black-wood-stand-aluminum-frame,"225 GAL 72X24X30T REEF PRO STARPHIRE GLASS TANK- BLACK WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 225 System Comes With:</li>
<li>72″ x 24″ x 30″ (approx)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>72x24x30 inch</li>
<li>1830x610x762 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>210 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return,1×2″ Drain</li>
</ul>",1,4999.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,225-gal-72x24x30t-reef-pro-starphire-glass-tank-white-wood-stand-aluminum-frame,"225 GAL 72X24X30T REEF PRO STARPHIRE GLASS TANK- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 225 System Comes With:</li>
<li>72″ x 24″ x 30″ (approx)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>72x24x30 inch</li>
<li>1830x610x762 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>210 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return,1×2″ Drain</li>
</ul>",1,4999.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,280-gal-72x30x30-reef-pro-staphire-glass-tank-black-wood-stand-aluminum-frame,"280 GAL 72X30X30 REEF PRO STAPHIRE GLASS TANK- BLACK WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 280 System Comes With:</li>
<li>72″ x 30″ x 30″ (approx)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>72x30x30 inch</li>
<li>1830x762x762 mm</li>
<li>Glass Thickness</li>
<li>15mm,5/8inch</li>
<li>Capacity</li>
<li>270 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return,1×2″ Drain</li>
</ul>",1,5499.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,280-gal-72x30x30-reef-pro-staphire-glass-tank-white-wood-stand-aluminum-frame,"280 GAL 72X30X30 REEF PRO STAPHIRE GLASS TANK- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 280 System Comes With:</li>
<li>72″ x 30″ x 30″ (approx)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>72x30x30 inch</li>
<li>1830x762x762 mm</li>
<li>Glass Thickness</li>
<li>15mm,5/8inch</li>
<li>Capacity</li>
<li>270 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return,1×2″ Drain</li>
</ul>",1,5499.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,60-gal-24x24x24-reef-pro-black-stand,60 GAL 24X24X24 REEF PRO- BLACK STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>24x24x24″ (approx), TRUE dimension 23.7″ x 23.7″ x 23.7″ (600mm x 600mm x 600mm)</li>
<li>Rimless Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Left Side Corner Overflow with 1.5″ drain and 3/4″ return</li>
<li>20″ Sump with 2 baffles and sock holder</li>
<li>31″ tall black stand</li>
</ul>",1,1149.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/New-Project-39.jpg
simple,90-gal-36x24x24-reef-pro-black-stand,90 GAL 36X24X24 REEF PRO-BLACK STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>36x24x24″ (approx), TRUE dimension 35.5″ x 23.7″ x 23.7″ (900mm x 600mm x 600mm)</li>
<li>Rimless Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Left Side Corner Overflow with 1.5″ drain and 3/4″ return</li>
<li>28″ Sump with 2 baffles and sock holder</li>
<li>31″ tall black stand</li>
</ul>",1,1699.99,Reef Pro,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/New-Project-38.jpg
simple,100-gal-48x24x20-shallow-peninsula-tank-low-iron-glass-aquarium,100 GAL 48x24x20 SHALLOW PENINSULA TANK- LOW IRON GLASS AQUARIUM,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>3 sides ultra clear glass</li>
<li>Overflow on one side / peninsula style</li>
<li>Rimless</li>
<li>48″x24”x20” is 1/2″ thick glass</li>
<li>extra bottom bracing</li>
<li>** PRICE IS FOR TANK ONLY, THERE IS NO STAND AND NO SUMP **</li>
<li>You can buy the stand and sump separately, please contact us for more details</li>
</ul>",1,1499.99,Shallow peninsula,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/150-GAL-72x24x20-SHALLOW-PENINSULA-TANK-LOW-IRON-GLASS-AQUARIUM-s-watermark.png
simple,125-gal-60x24x20-shallow-peninsula-tank-low-iron-glass-aquarium,125 GAL 60x24x20 SHALLOW PENINSULA TANK- LOW IRON GLASS AQUARIUM,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>3 sides ultra clear glass</li>
<li>Overflow on one side / peninsula style</li>
<li>Rimless</li>
<li>60”x24”x20” is 1/2″ thick glass</li>
<li>extra bottom bracing</li>
<li>** PRICE IS FOR TANK ONLY, THERE IS NO STAND AND NO SUMP **</li>
<li>You can buy the stand and sump seperately, please contact us for more details</li>
</ul>",1,1599.99,Shallow peninsula,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/150-GAL-72x24x20-SHALLOW-PENINSULA-TANK-LOW-IRON-GLASS-AQUARIUM-s-watermark.png
simple,150-gal-72x24x20-shallow-peninsula-tank-low-iron-glass-aquarium,150 GAL 72x24x20 SHALLOW PENINSULA TANK- LOW IRON GLASS AQUARIUM,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>3 sides ultra clear glass</li>
<li>Overflow on one side / peninsula style</li>
<li>Rimless</li>
<li>72″x24”x20” is 3/4″ thick glass</li>
<li>extra bottom bracing</li>
<li>** PRICE IS FOR TANK ONLY, THERE IS NO STAND AND NO SUMP **</li>
<li>You can buy the stand and sump separately, please contact us for more details</li>
</ul>",1,1799.99,Shallow peninsula,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/150-GAL-72x24x20-SHALLOW-PENINSULA-TANK-LOW-IRON-GLASS-AQUARIUM-s-watermark.png
simple,120-s-gal-low-iron-glass-tank,120-S GAL LOW IRON GLASS TANK,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>75 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron, front, back and both sides (very similar to starphire glass)</li>
<li>Tank size (47.24″ x 23.62″ x 14.17″)</li>
<li>Glass 12mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,679.99,Specialty,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-s-gal-low-iron-glass-tank.jpg
simple,beta-tank-system-34x13x59,BETA TANK SYSTEM 34×13×59,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Beta system</li>
<li>32 tanks</li>
<li>each tank is 3.94×3.94×5.91</li>
<li>3 tiers</li>
<li>3 leds, one for each tier</li>
<li>glass sump with return and drain plumbing</li>
<li>(Return pumps sold separately)</li>
<li>Overall size</li>
<li>Approximately 34″ wide x 13″ wide and 59″ tall</li>
</ul>",1,1499.00,Specialty,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/BETA-TANK-SYSTEM-34-13-59.jpg
simple,pro-65-gal-40x18x22-low-iron-glass-black-stand,"PRO 65 GAL 40x18x22 LOW IRON GLASS, BLACK STAND",1,visible,"<ul>
<li>NEED TO SHIP VIA FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>65 Gallon Glass Tank</li>
<li>Tank is 3 sides start fire, front and both sides (very similar to starphire glass)</li>
<li>Corner Overflow Build In</li>
<li>Glass Sump</li>
<li>80w LED Light Fixture (60 White x 20 Blue )</li>
<li>Tank size (39.37″ x 17.72″ x 21.65″)</li>
<li>Stand is ( 31.50″ )</li>
<li>NEED TO SHIP VIA FREIGHT, NO FREE SHIPPING</li>
</ul>",1,999.99,Specialty,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/black-color-aqua.png
simple,pro-85-gal-48x18x24-low-iron-glass-black-stand,"PRO 85 GAL 48x18x24 LOW IRON GLASS, BLACK STAND",1,visible,"<ul>
<li>NEED TO SHIP VIA FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>85 Gallon Display Tank</li>
<li>Tank is 3 sides start fire, front and both sides (very similar to starphire glass)</li>
<li>Corner Overflow Build In</li>
<li>Glass Sump</li>
<li>100w LED Light Fixture</li>
<li>Tank size ( 47.24″ x 17.72″ x 23.62″ )</li>
<li>Stand is ( 31.50″ )</li>
<li>NEED TO SHIP VIA FREIGHT, NO FREE SHIPPING</li>
</ul>",1,1399.99,Specialty,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/black-color-aqua.png
simple,retail-aquarium-system-48x20x92,RETAIL AQUARIUM SYSTEM 48X20X92,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Beta system</li>
<li>3 tiers + sump</li>
<li>One whole tank / One divided into 2 / One divided into 3</li>
<li>3 leds, one for each tier</li>
<li>glass sump with return and drain plumbing</li>
<li>(Return pumps sold separately)</li>
<li>Overall size</li>
<li>Approximately 48″ long x 20″ wide and 92″ tall</li>
<li>Each tank is approximately 42″ long x 19″ wide and by 14″ tall</li>
<li>Water-proof powder coated aluminum stand</li>
<li>All glass tank comes with glass sliding top to keep fish from jumping out</li>
<li>All glass tank comes with overflow boxes that lead the water into the sump on the bottom</li>
<li>All plumbing parts included / just need to add filter media / skimmer and a return pump</li>
<li>Every display tank comes with it own fitted LED lighting, 35w with 10k and Actinic blues</li>
</ul>",1,2499.99,Specialty,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/RETAIL-AQUARIUM-SYSTEM-48X20X92.jpg
simple,120-gal-48x24x24-starphire-glass-tank-black-wood-stand,120 GAL 48X24X24 STARPHIRE GLASS TANK- BLACK WOOD STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>48″ x 24″ x 24″ (approx), TRUE dimension 47.25″ x 23.7″ x 23.7″ (1200mm x 600mm x 600mm)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>31″ tall black or white stand</li>
</ul>",1,1599.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,150-gal-60x24x24-starphire-glass-tank-black-wood-stand,150 GAL 60X24X24 STARPHIRE GLASS TANK- BLACK WOOD STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>60″ x 24″ x 24″ (approx), TRUE dimension 59.1″ x 23.7″ x 23.7″ (1500mm x 600mm x 600mm)</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>48″ Sump with 2 baffles and 2 sock holders</li>
<li>31″ tall black stand</li>
</ul>",1,1899.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,150t-gal-48x24x30-starphire-glass-tank-white-wood-stand-aluminum-frame,"150T GAL 48X24X30 STARPHIRE GLASS TANK- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 150 Tall System Comes With:</li>
<li>48″ x 24″ x 30″ (approx 150gal), 1/2″ Thick</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>¾” return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>36″ tall black Alloy stand</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>48x24x30 inch</li>
<li>1219x610x762 mm</li>
<li>Glass Thickness</li>
<li>12mm, 1/2inch</li>
</ul>",1,2999.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,150w-gal-48x30x24-starphire-glass-tank-black-wood-stand-aluminum-frame,"150W GAL 48X30X24 STARPHIRE GLASS TANK- BLACK WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 150W System Comes With:</li>
<li>48″ x 30″ x 24″ (approx 150gal), 1/2″ Thick</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>¾” return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>36″ tall black Alloy stand</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>48x30x24 inch</li>
<li>1219x762x610 mm</li>
<li>Glass Thickness</li>
<li>12mm, 1/2inch</li>
</ul>",1,3399.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,150w-gal-48x30x24-starphire-glass-tank-white-wood-stand-aluminum-frame,"150W GAL 48X30X24 STARPHIRE GLASS TANK- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Reef Pro 150W System Comes With:</li>
<li>48″ x 30″ x 24″ (approx 150gal), 1/2″ Thick</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>¾” return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>36″ tall black Alloy stand</li>
<li>Black Background</li>
<li>Tank Size</li>
<li>48x30x24 inch</li>
<li>1219x762x610 mm</li>
<li>Glass Thickness</li>
<li>12mm, 1/2inch</li>
</ul>",1,3399.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,180t-gal-48x24x36-starphire-glass-tank-black-wood-stand-aluminum-frame,"180T GAL 48X24X36 STARPHIRE GLASS TANK- BLACK WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>48″ x 24″ x 36″ (approx 180gal), 1/2″ Thick</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>36″ tall black alloy stand, black wood cabinet</li>
<li>Tank Size</li>
<li>48x24x36 inch</li>
<li>1219x610x914 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>180 Gallon</li>
</ul>",1,3399.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,190-gal-48x30x30-starphire-glass-white-wood-stand-aluminum-frame,"190 GAL 48X30X30 STARPHIRE GLASS- WHITE WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow</li>
<li>Tank Size</li>
<li>48x30x30 inch</li>
<li>1219x762x762 mm</li>
<li>Glass Thickness</li>
<li>12mm, 1/2inch</li>
<li>Capacity</li>
<li>190 Gallon</li>
<li>Overflow Box</li>
<li>2×3/4″ Return, 1x 1.5″ Drain</li>
<li>Sump Size</li>
<li>39.37×17.7×15.7 inch</li>
<li>1000x450x400 mm</li>
</ul>",1,3499.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/190-GAL-48X30X30-STARPHIRE-GLASS-WHITE-WOOD-STAND-09thupdated.jpg
simple,190t-gal-60x24x30-starphire-glass-tank-black-wood-stand-aluminum-frame,"190T GAL 60X24X30 STARPHIRE GLASS TANK- BLACK WOOD STAND, ALUMINUM FRAME",1,visible,<p>Check Warranty Details</p>,"<ul>
<li>60″ x 24″ x 30″ (approx 190gal), 1/2″ Thick</li>
<li>Recess Euro Brace Glass Tank with 3 sides ULTRA CLEAR/LOW IRON (similar to Starphire)</li>
<li>Center Overflow with 1.5″ (1x) and 3/4 (2x)” bulkhead holes at the bottom</li>
<li>return holes (2x) at the top of the overflow</li>
<li>Alternative 3/4″ return holes (2x) on top rear corners bracing</li>
<li>36″ Sump with 2 baffles and 2 sock holders</li>
<li>36″ tall black alloy stand, black wood cabinet</li>
<li>Tank Size</li>
<li>60x24x30 inch</li>
<li>1524x610x762 mm</li>
<li>Glass Thickness</li>
<li>12mm, 1/2inch</li>
<li>Capacity</li>
<li>190 Gallon</li>
</ul>",1,3499.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/120-GAL-48X24X24-STARPHIRE-GLASS-TANK-BLACK-WOOD-STAND-s-watermark.png
simple,200-gal-84x24x24-starphire-glass-tank-black-stand,200 GAL 84x24x24 STARPHIRE GLASS TANK- BLACK STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Approximately 84x24x24″</li>
<li>Euro Bracing / Bottom Brace</li>
<li>Tank Size</li>
<li>84x24x24 inch</li>
<li>2140x600x600 mm</li>
<li>Glass Thickness</li>
<li>15 mm, 5/8 inch</li>
<li>Capacity</li>
<li>200 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return, 2×1.5″ Drain</li>
<li>Sump Size</li>
<li>70.9×17.7×15.7 inch</li>
</ul>",1,4999.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/200-GAL-84x24x24-STARPHIRE-GLASS-TANK-BLACK-STAND-s_watermark.png
simple,200-gal-84x24x24-starphire-glass-tank-white-stand,200 GAL 84x24x24 STARPHIRE GLASS TANK- WHITE STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Comes with 32″ metal frame tall stand</li>
<li>Approximately 84x24x24″</li>
<li>Euro Bracing / Bottom Brace</li>
<li>Tank Size</li>
<li>84x24x24 inch</li>
<li>2140x600x600 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>200 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return, 2×1.5″ Drain</li>
<li>Sump Size</li>
</ul>",1,4999.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/200-GAL-84x24x24-STARPHIRE-GLASS-TANK-BLACK-STAND-s_watermark.png
simple,225-gal-72x30x24-starphire-glass-aquarium,225 GAL 72X30X24 STARPHIRE GLASS AQUARIUM,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>** NO STAND **</li>
<li>** NO SUMP **</li>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Approximately 72x30x24″</li>
<li>Glass 1/2″ thick</li>
<li>Euro Bracing / Bottom Brace</li>
<li>Tank Size</li>
<li>72x30x24 inch</li>
<li>1830x762x610 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>225Gallon</li>
<li>Overflow Box</li>
</ul>",1,3299.99,Starphire glass,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/150-GAL-72x24x20-SHALLOW-PENINSULA-TANK-LOW-IRON-GLASS-AQUARIUM-s-watermark.png
